fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
71,2025-11-28,balanced,15,4,60,4,0.060596135652181964,12,0.44125742168483245,False
71,2025-11-28,flexible,31,5,40,92,0.05658263305322129,12,0.44863183258972233,False
71,2025-11-28,regularized,15,4,40,26,0.06064198050282582,12,0.47181104360600373,False
72,2025-12-31,shallow,7,3,80,26,0.08204639226226862,12,0.45770010448329007,False
72,2025-12-31,balanced,15,4,60,4,0.10348854558011578,12,0.44193614958910815,True
72,2025-12-31,flexible,31,5,40,90,0.028123249299719877,12,0.41019769486977764,False
72,2025-12-31,regularized,15,4,40,17,0.06320044934486085,12,0.4385939403325418,False
73,2026-01-30,shallow,7,3,80,26,0.08204639226226862,12,0.45770010448329007,False
73,2026-01-30,balanced,15,4,60,4,0.10348854558011578,12,0.44193614958910815,True
73,2026-01-30,flexible,31,5,40,90,0.028123249299719877,12,0.41019769486977764,False
73,2026-01-30,regularized,15,4,40,17,0.06320044934486085,12,0.4385939403325418,False
74,2026-02-27,shallow,7,3,80,25,0.07618595380168139,12,0.4381340602359464,True
74,2026-02-27,balanced,15,4,60,43,0.03869547819127652,12,0.43470464426772,False
74,2026-02-27,flexible,31,5,40,73,0.04041616646658663,12,0.43658198804238685,False
74,2026-02-27,regularized,15,4,40,34,0.07082164443145009,12,0.42832507832985955,False
75,2026-03-31,shallow,7,3,80,13,0.07959941396183959,12,0.46402268113645984,True
75,2026-03-31,balanced,15,4,60,23,0.06355906913344847,12,0.44369976245416803,False
75,2026-03-31,flexible,31,5,40,15,0.04427786950021855,12,0.4144707914637264,False
75,2026-03-31,regularized,15,4,40,23,0.07253489172779454,12,0.4419551330289509,False
76,2026-04-30,shallow,7,3,80,4,0.08214592962762067,12,0.44489768898698107,False
76,2026-04-30,balanced,15,4,60,2,0.07074312690522477,12,0.4316454739771578,False
76,2026-04-30,flexible,31,5,40,5,0.0956719879735531,12,0.4078932915487461,True
76,2026-04-30,regularized,15,4,40,14,0.05648628470299821,12,0.43923430323041357,False
77,2026-05-29,shallow,7,3,80,4,0.08214592962762067,12,0.44489768898698107,False
77,2026-05-29,balanced,15,4,60,2,0.07074312690522477,12,0.4316454739771578,False
77,2026-05-29,flexible,31,5,40,5,0.0956719879735531,12,0.4078932915487461,True
77,2026-05-29,regularized,15,4,40,14,0.05648628470299821,12,0.43923430323041357,False
