as_of_date,sector,portfolio_weight,universe_equal_weight,active_weight,positions,component_risk,risk_contribution_share
2021-12-31,Industrials,0.05,0.1,-0.05,1,0.005484155275007864,0.0394260066017977
2021-12-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.004622642693891628,0.03323252756858929
2022-01-31,Financials,0.25,0.14,0.10999999999999999,5,0.03352656729649145,0.22069924643741828
2022-01-31,Information Technology,0.25,0.16,0.09,5,0.051990475300755054,0.3422437680340936
2022-01-31,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.022055781559920135,0.14518916675290178
2022-01-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.009149158635235365,0.060227234076068205
2022-01-31,Communication Services,0.05,0.08,-0.03,1,0.008515894540717205,0.05605857263154692
2022-01-31,Consumer Staples,0.05,0.1,-0.05,1,0.0060994436798069065,0.04015151959687002
2022-01-31,Energy,0.05,0.06,-0.009999999999999995,1,0.006184971404529045,0.040714532929811455
2022-01-31,Materials,0.05,0.04,0.010000000000000002,1,0.0047097163969106424,0.031003199657750467
2022-01-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.004690003388545176,0.030873432537460516
2022-01-31,Utilities,0.05,0.04,0.010000000000000002,1,0.0049886437584734985,0.032839327346079056
2022-02-28,Consumer Discretionary,0.2,0.12,0.08000000000000002,4,0.03512606545570017,0.22887449598860005
2022-02-28,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.019387426625342895,0.12632463783874343
2022-02-28,Health Care,0.15000000000000002,0.14,0.010000000000000009,3,0.014855232185477338,0.09679375515406649
2022-02-28,Information Technology,0.15000000000000002,0.16,-0.009999999999999981,3,0.03456965232027324,0.225249018034262
2022-02-28,Communication Services,0.1,0.08,0.020000000000000004,2,0.0219193850909144,0.14282237848101928
2022-02-28,Industrials,0.1,0.1,0.0,2,0.011176506334596222,0.07282390501350607
2022-02-28,Consumer Staples,0.05,0.1,-0.05,1,0.006245479208675622,0.04069430741953335
2022-02-28,Energy,0.05,0.06,-0.009999999999999995,1,0.005279035297043008,0.034397150015009106
2022-02-28,Real Estate,0.05,0.02,0.030000000000000002,1,0.0049142608806167064,0.03202035205526046
2022-03-31,Information Technology,0.25,0.16,0.09,5,0.057999495180600255,0.3429890497583051
2022-03-31,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.029770275233675217,0.1760511601290077
2022-03-31,Industrials,0.15000000000000002,0.1,0.05000000000000002,3,0.01859706331454318,0.10997663091184487
2022-03-31,Communication Services,0.1,0.08,0.020000000000000004,2,0.02428423900658329,0.1436086302998985
2022-03-31,Financials,0.1,0.14,-0.04000000000000001,2,0.015064257924582103,0.0890848359072383
2022-03-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.010142731180179183,0.059980620841803445
2022-03-31,Energy,0.05,0.06,-0.009999999999999995,1,0.00408961029546979,0.024184547550926586
2022-03-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.004956727668525896,0.029312381213742852
2022-03-31,Utilities,0.05,0.04,0.010000000000000002,1,0.004195736837144676,0.024812143387232755
2022-04-29,Information Technology,0.25,0.16,0.09,5,0.06265292677322007,0.34364066479616384
2022-04-29,Health Care,0.2,0.14,0.06,4,0.02077506223232381,0.1139476887095551
2022-04-29,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.03661004687868493,0.20079989069221615
2022-04-29,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.023752111082368903,0.1302762961449771
