signal,as_of_date,quintile,observations,mean_target_21d_excess,median_target_21d_excess,mean_target_21d
amihud_illiquidity_20d_sector_neutral,2014-08-29,3,10,-0.005213834346405821,0.0029141301395361197,-0.0011966201865470372
amihud_illiquidity_20d_sector_neutral,2014-08-29,4,10,-0.010659835120205175,-0.0023643784706322,-0.00664262096034639
amihud_illiquidity_20d_sector_neutral,2014-08-29,5,10,-0.003963133652732409,-0.007807491533825761,5.408050712637502e-05
amihud_illiquidity_20d_sector_neutral,2014-09-30,1,10,-0.012993446886112092,-0.017003513626332123,-0.0025809156436093494
amihud_illiquidity_20d_sector_neutral,2014-09-30,2,10,-0.022629256090571814,-0.024418325617120817,-0.012216724848069072
amihud_illiquidity_20d_sector_neutral,2014-09-30,3,10,0.001950084145360953,0.004877631856778031,0.012362615387863696
amihud_illiquidity_20d_sector_neutral,2014-09-30,4,10,-0.0001317838913832303,0.010237751557201746,0.010280747351119512
amihud_illiquidity_20d_sector_neutral,2014-09-30,5,10,0.0060003030213040985,0.014104677971726431,0.016412834263806842
amihud_illiquidity_20d_sector_neutral,2014-10-31,1,10,0.0018344036572420785,0.0001318806927806948,0.04554647030549808
amihud_illiquidity_20d_sector_neutral,2014-10-31,2,10,-0.008963318760192884,-0.02690466188787277,0.03474874788806311
amihud_illiquidity_20d_sector_neutral,2014-10-31,3,10,-0.02304571039576686,-0.007920596156405169,0.020666356252489138
amihud_illiquidity_20d_sector_neutral,2014-10-31,4,10,-0.012687463422614998,-0.0035453846155303337,0.031024603225641
amihud_illiquidity_20d_sector_neutral,2014-10-31,5,10,0.008741866312137248,0.014004940842790803,0.052453932960393246
amihud_illiquidity_20d_sector_neutral,2014-11-28,1,10,-0.01996459858595061,-0.02053022690469619,0.002084824297069754
amihud_illiquidity_20d_sector_neutral,2014-11-28,2,10,-0.026166020878457485,-0.016452899887998806,-0.004116597995437121
amihud_illiquidity_20d_sector_neutral,2014-11-28,3,10,0.010606916417801837,0.009639713053017362,0.0326563393008222
amihud_illiquidity_20d_sector_neutral,2014-11-28,4,10,-0.015416886427981802,0.0005405768859461091,0.006632536455038562
