as_of_date,sector,companies,mean_percentile_score,top_group_companies,top_group_share
2022-09-30,Consumer Discretionary,6,0.4727891156462585,2,0.2
2022-09-30,Consumer Staples,5,0.4693877551020408,1,0.1
2022-09-30,Energy,3,0.54421768707483,1,0.1
2022-09-30,Financials,7,0.5262390670553936,1,0.1
2022-09-30,Health Care,7,0.5116618075801749,2,0.2
2022-09-30,Industrials,5,0.4653061224489797,1,0.1
2022-09-30,Information Technology,8,0.43749999999999994,1,0.1
2022-09-30,Materials,2,0.4846938775510204,0,0.0
2022-09-30,Real Estate,1,0.9591836734693877,1,0.1
2022-09-30,Utilities,2,0.5714285714285714,0,0.0
2022-10-31,Communication Services,4,0.3979591836734694,1,0.1
2022-10-31,Consumer Discretionary,6,0.5901360544217688,2,0.2
2022-10-31,Consumer Staples,5,0.4591836734693878,1,0.1
2022-10-31,Energy,3,0.5510204081632653,1,0.1
2022-10-31,Financials,7,0.4708454810495627,0,0.0
2022-10-31,Health Care,7,0.4402332361516034,2,0.2
2022-10-31,Industrials,5,0.5102040816326531,0,0.0
2022-10-31,Information Technology,8,0.49999999999999994,2,0.2
2022-10-31,Materials,2,0.49489795918367346,0,0.0
2022-10-31,Real Estate,1,0.9183673469387755,1,0.1
2022-10-31,Utilities,2,0.5408163265306123,0,0.0
2022-11-30,Communication Services,4,0.489795918367347,1,0.1
2022-11-30,Consumer Discretionary,6,0.5782312925170068,3,0.3
2022-11-30,Consumer Staples,5,0.4408163265306122,0,0.0
2022-11-30,Energy,3,0.6258503401360543,2,0.2
2022-11-30,Financials,7,0.5014577259475219,0,0.0
2022-11-30,Health Care,7,0.4518950437317784,1,0.1
2022-11-30,Industrials,5,0.48571428571428577,0,0.0
2022-11-30,Information Technology,8,0.45408163265306123,1,0.1
2022-11-30,Materials,2,0.4285714285714286,1,0.1
2022-11-30,Real Estate,1,0.9387755102040817,1,0.1
2022-11-30,Utilities,2,0.47959183673469385,0,0.0
2022-12-30,Communication Services,4,0.5561224489795918,1,0.1
2022-12-30,Consumer Discretionary,6,0.5102040816326531,1,0.1
2022-12-30,Consumer Staples,5,0.3510204081632653,0,0.0
2022-12-30,Energy,3,0.7142857142857143,2,0.2
2022-12-30,Financials,7,0.5364431486880467,2,0.2
2022-12-30,Health Care,7,0.4693877551020408,1,0.1
2022-12-30,Industrials,5,0.4530612244897959,0,0.0
2022-12-30,Information Technology,8,0.4336734693877551,2,0.2
2022-12-30,Materials,2,0.3979591836734694,0,0.0
2022-12-30,Real Estate,1,1.0,1,0.1
2022-12-30,Utilities,2,0.6224489795918368,0,0.0
2023-01-31,Communication Services,4,0.5051020408163265,1,0.1
2023-01-31,Consumer Discretionary,6,0.42176870748299317,1,0.1
2023-01-31,Consumer Staples,5,0.43673469387755104,0,0.0
2023-01-31,Energy,3,0.7006802721088435,2,0.2
2023-01-31,Financials,7,0.5364431486880467,0,0.0
2023-01-31,Health Care,7,0.4373177842565598,0,0.0
2023-01-31,Industrials,5,0.4122448979591836,0,0.0
2023-01-31,Information Technology,8,0.48214285714285715,3,0.3
2023-01-31,Materials,2,0.5,1,0.1
2023-01-31,Real Estate,1,1.0,1,0.1
2023-01-31,Utilities,2,0.7142857142857143,1,0.1
2023-02-28,Communication Services,4,0.5255102040816326,1,0.1
2023-02-28,Consumer Discretionary,6,0.5340136054421768,2,0.2
2023-02-28,Consumer Staples,5,0.3102040816326531,0,0.0
2023-02-28,Energy,3,0.6054421768707482,2,0.2
2023-02-28,Financials,7,0.5393586005830904,0,0.0
2023-02-28,Health Care,7,0.48396501457725954,1,0.1
2023-02-28,Industrials,5,0.4244897959183674,0,0.0
2023-02-28,Information Technology,8,0.5153061224489797,2,0.2
2023-02-28,Materials,2,0.4489795918367347,0,0.0
2023-02-28,Real Estate,1,0.9795918367346939,1,0.1
2023-02-28,Utilities,2,0.5204081632653061,1,0.1
2023-03-31,Communication Services,4,0.5102040816326531,1,0.1
2023-03-31,Consumer Discretionary,6,0.5408163265306122,1,0.1
2023-03-31,Consumer Staples,5,0.35102040816326535,0,0.0
2023-03-31,Energy,3,0.5374149659863946,1,0.1
2023-03-31,Financials,7,0.45189504373177847,2,0.2
2023-03-31,Health Care,7,0.5189504373177841,1,0.1
2023-03-31,Industrials,5,0.3836734693877551,1,0.1
2023-03-31,Information Technology,8,0.5739795918367346,2,0.2
2023-03-31,Materials,2,0.5102040816326531,0,0.0
2023-03-31,Real Estate,1,1.0,1,0.1
2023-03-31,Utilities,2,0.5102040816326531,0,0.0
2023-04-28,Communication Services,4,0.5408163265306123,0,0.0
2023-04-28,Consumer Discretionary,6,0.5476190476190476,1,0.1
2023-04-28,Consumer Staples,5,0.3673469387755102,0,0.0
2023-04-28,Energy,3,0.5782312925170068,2,0.2
2023-04-28,Financials,7,0.4985422740524781,2,0.2
2023-04-28,Health Care,7,0.4810495626822158,1,0.1
2023-04-28,Industrials,5,0.38367346938775515,0,0.0
2023-04-28,Information Technology,8,0.5714285714285714,3,0.3
2023-04-28,Materials,2,0.4489795918367347,0,0.0
2023-04-28,Real Estate,1,0.8775510204081632,1,0.1
2023-04-28,Utilities,2,0.4285714285714286,0,0.0
2023-05-31,Communication Services,4,0.4795918367346938,0,0.0
2023-05-31,Consumer Discretionary,6,0.6564625850340136,2,0.2
2023-05-31,Consumer Staples,5,0.4816326530612245,0,0.0
2023-05-31,Energy,3,0.41496598639455784,1,0.1
2023-05-31,Financials,7,0.47813411078717205,2,0.2
2023-05-31,Health Care,7,0.5160349854227405,2,0.2
2023-05-31,Industrials,5,0.3836734693877551,1,0.1
2023-05-31,Information Technology,8,0.5459183673469388,2,0.2
2023-05-31,Materials,2,0.47959183673469385,0,0.0
2023-05-31,Real Estate,1,0.6122448979591837,0,0.0
2023-05-31,Utilities,2,0.336734693877551,0,0.0
2023-06-30,Communication Services,4,0.5357142857142856,0,0.0
2023-06-30,Consumer Discretionary,6,0.6224489795918368,2,0.2
2023-06-30,Consumer Staples,5,0.36734693877551017,0,0.0
2023-06-30,Energy,3,0.4013605442176871,0,0.0
2023-06-30,Financials,7,0.39358600583090375,2,0.2
2023-06-30,Health Care,7,0.48104956268221566,0,0.0
2023-06-30,Industrials,5,0.47346938775510206,1,0.1
2023-06-30,Information Technology,8,0.6479591836734694,4,0.4
2023-06-30,Materials,2,0.37755102040816324,0,0.0
2023-06-30,Real Estate,1,0.8367346938775511,1,0.1
2023-06-30,Utilities,2,0.40816326530612246,0,0.0
2023-07-31,Communication Services,4,0.5561224489795918,1,0.1
2023-07-31,Consumer Discretionary,6,0.554421768707483,2,0.2
2023-07-31,Consumer Staples,5,0.3469387755102041,0,0.0
2023-07-31,Energy,3,0.4761904761904762,0,0.0
