model_name,from_date,to_date,valid_transition,top_quintile_turnover,top_quintile_overlap_ratio,mean_absolute_percentile_change
momentum_3m,2025-08-29,2025-09-30,True,0.49999999999999994,0.5,0.16959999999999997
ridge,2025-08-29,2025-09-30,True,0.3,0.7,0.10959999999999999
constant,2025-09-30,2025-10-31,False,,,
elastic_net,2025-09-30,2025-10-31,True,0.2,0.8,0.1064
equal_weight_composite,2025-09-30,2025-10-31,True,0.39999999999999997,0.6,0.16879999999999998
momentum_3m,2025-09-30,2025-10-31,True,0.49999999999999994,0.5,0.19760000000000003
ridge,2025-09-30,2025-10-31,True,0.3,0.7,0.12479999999999998
constant,2025-10-31,2025-11-28,False,,,
elastic_net,2025-10-31,2025-11-28,True,0.2,0.8,0.0808
equal_weight_composite,2025-10-31,2025-11-28,True,0.39999999999999997,0.6,0.1456
momentum_3m,2025-10-31,2025-11-28,True,0.3,0.7,0.136
ridge,2025-10-31,2025-11-28,True,0.3,0.7,0.1328
constant,2025-11-28,2025-12-31,False,,,
elastic_net,2025-11-28,2025-12-31,True,0.3,0.7,0.0664
equal_weight_composite,2025-11-28,2025-12-31,True,0.49999999999999994,0.5,0.1848
momentum_3m,2025-11-28,2025-12-31,True,0.49999999999999994,0.5,0.11599999999999998
ridge,2025-11-28,2025-12-31,True,0.2,0.8,0.084
constant,2025-12-31,2026-01-30,False,,,
elastic_net,2025-12-31,2026-01-30,True,0.2,0.8,0.0992
equal_weight_composite,2025-12-31,2026-01-30,True,0.3,0.7,0.13520000000000001
momentum_3m,2025-12-31,2026-01-30,True,0.49999999999999994,0.5,0.1704
ridge,2025-12-31,2026-01-30,True,0.3,0.7,0.1352
constant,2026-01-30,2026-02-27,False,,,
elastic_net,2026-01-30,2026-02-27,True,0.3,0.7,0.09119999999999999
equal_weight_composite,2026-01-30,2026-02-27,True,0.49999999999999994,0.5,0.1384
momentum_3m,2026-01-30,2026-02-27,True,0.39999999999999997,0.6,0.172
ridge,2026-01-30,2026-02-27,True,0.3,0.7,0.10719999999999999
constant,2026-02-27,2026-03-31,False,,,
elastic_net,2026-02-27,2026-03-31,True,0.2,0.8,0.1032
equal_weight_composite,2026-02-27,2026-03-31,True,0.39999999999999997,0.6,0.144
momentum_3m,2026-02-27,2026-03-31,True,0.39999999999999997,0.6,0.1512
ridge,2026-02-27,2026-03-31,True,0.3,0.7,0.10160000000000002
constant,2026-03-31,2026-04-30,False,,,
elastic_net,2026-03-31,2026-04-30,True,0.1,0.9,0.0912
